"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4370454932","linkedin","https://www.linkedin.com/jobs/view/4370454932","","Process Analyst","Ingram Content Group","La Vergne, TN","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/ingram-content-group","","","","","","","","","","","",""
"li-4370423882","linkedin","https://www.linkedin.com/jobs/view/4370423882","","Data Engineer Entry Level","Talent Glider","","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/talent-glider","","","","","","","","","","","",""
"li-4370599543","linkedin","https://www.linkedin.com/jobs/view/4370599543","","Data Analyst","Iron EagleX, Inc.","Virginia Beach, VA","2026-02-09","","","","","","",False,"","","","","","","https://www.linkedin.com/company/ironeaglex","","","","","","","","","","","",""
"li-4371320031","linkedin","https://www.linkedin.com/jobs/view/4371320031","","Data Analyst, Product","TikTok","San Jose, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/tiktok","","","","","","","","","","","",""
"li-4371618892","linkedin","https://www.linkedin.com/jobs/view/4371618892","","Data Analytics & AI Intern / Analyst - Castle Park Investments","Castle Park Investments","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/castle-park-investments","","","","","","","","","","","",""
"li-4371464555","linkedin","https://www.linkedin.com/jobs/view/4371464555","","Data Analyst","Inizio Engage","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/inizio-engage","","","","","","","","","","","",""
"li-4354291909","linkedin","https://www.linkedin.com/jobs/view/4354291909","","Data Analyst III","Fanatics","Denver, CO","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/fanatics-inc-","","","","","","","","","","","",""
"li-4363185998","linkedin","https://www.linkedin.com/jobs/view/4363185998","","Data Analyst","Solomon Page","New York, NY","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/solomon-page-group","","","","","","","","","","","",""
"li-4371491460","linkedin","https://www.linkedin.com/jobs/view/4371491460","","Data Analyst","Aditi Consulting","Mountain View, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/aditiconsulting","","","","","","","","","","","",""
"li-4309881452","linkedin","https://www.linkedin.com/jobs/view/4309881452","","Data Analyst I - Pharmacy","Lockton","Dallas, TX","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lockton-companies","","","","","","","","","","","",""
"li-4371642818","linkedin","https://www.linkedin.com/jobs/view/4371642818","","Data Analyst - Entry Level","Lensa","Dallas, TX","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4342802587","linkedin","https://www.linkedin.com/jobs/view/4342802587","","Data Analyst","Alder","Newton, MA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/askalder","","","","","","","","","","","",""
"li-4354853065","linkedin","https://www.linkedin.com/jobs/view/4354853065","","Data Analyst","Wavelo","","","","","","","","",False,"","","","","","","https://ca.linkedin.com/company/wavelo","","","","","","","","","","","",""
"li-4371149415","linkedin","https://www.linkedin.com/jobs/view/4371149415","","Data Analyst","AARATECH","","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/aaratechinc","","","","","","","","","","","",""
"li-4363241525","linkedin","https://www.linkedin.com/jobs/view/4363241525","","Data Analyst (Junior/Mid)","The Columbia Group","Alexandria, VA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/the-columbia-group","","","","","","","","","","","",""
"li-4371657054","linkedin","https://www.linkedin.com/jobs/view/4371657054","","Data Analyst Jr.","Lensa","Washington, DC","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/lensa","","","","","","","","","","","",""
"li-4342815415","linkedin","https://www.linkedin.com/jobs/view/4342815415","","Data Analyst, Supply Chain (Starlink)","SpaceX","Redmond, WA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/spacex","","","","","","","","","","","",""
"li-4371433833","linkedin","https://www.linkedin.com/jobs/view/4371433833","","Data Analyst","Resource Informatics Group, Inc","Austin, TX","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/resource-informatics-group-inc","","","","","","","","","","","",""
"li-4371194848","linkedin","https://www.linkedin.com/jobs/view/4371194848","","Data Analyst","Akkodis","Fountain Valley, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/akkodis","","","","","","","","","","","",""
"li-4275942136","linkedin","https://www.linkedin.com/jobs/view/4275942136","","Data Analyst (SQL, Agile)","Gartner","Fort Myers, FL","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/gartner","","","","","","","","","","","",""
